Station Code,Location,State,Temp Min,Temp Max,Dissoved Oxygen Min,Dissoved Oxygen Max,pH Min,pH Max,Conductivity Min,Conductivity Max,BOD Min,BOD Max,Nitrate Min,Nitrate Max,Fecal Coliform Min,Fecal Coliform Max,Total Coliform Min,Total Coliform Max,cluster,cluster-5,cluster-6,cluster-7,cluster-8,cluster-9
4403.0,"BURHI GANDAK AT BARACHAKIA, EAST CHAMPARAN",BIHAR,-0.38544687800899374,1.086741306232877,0.6642739790099739,0.07297941828937206,0.4017185274199281,-0.007357604927877901,-0.03669505595860217,-0.1501351071944177,-0.15108752386653743,-0.16952370856898993,-0.39692731269336057,-0.14082052835868195,-0.040233120126491134,-0.03613291837214226,-0.0462041550478414,-0.024079351462911354,c1,c2,c5,c2,c4,c4
4300.0,"BURHI GANDAK AT LAL BAGLA GHAT, MOTIHARI DHAKA
ROAD, EAST CHAMPARAN",BIHAR,-0.38544687800899374,0.8968591840953303,-0.6513894631315663,0.22664349147522456,0.02096903849299828,0.030305259705242973,-0.08455166149874362,-0.14912767272042957,-0.16896263453079774,0.03269315838965417,-0.2096201111639789,-0.14082052835868195,-0.02726892133949155,-0.036870825902126675,-0.013484838771655412,-0.027700679340617828,c1,c2,c5,c7,c2,c1
4295.0,"BURHI GANDAK AT KHAGARIA ROAD BRIDGE, KHAGARIA",BIHAR,-0.20035290975651268,0.3272128176826901,0.31005689843340517,0.6108036744398554,0.7824680163468561,0.00017496799874624735,-0.06367803567804362,-0.135135527248372,-0.13321241320227714,-0.15621996732171073,-0.2096201111639789,-0.13218000238541738,-0.05535801871132398,-0.03718707198640571,-0.03822383400486921,-0.02790347370176939,c1,c2,c1,c5,c1,c2
3126.0,"U/S HARBORA RIVER, WEST CHAMPARAN",BIHAR,-0.38544687800899374,1.086741306232877,-0.19596750239026417,0.687635711032782,0.21134378295646233,-0.022422750781126332,-0.07589674347552654,-0.14946348421175892,-0.22258796652357868,-0.16420221207007826,-0.2096201111639789,-0.12353947641215283,-0.05427766881240735,-0.03602750301071592,-0.018273031397438726,-0.024079351462911354,c1,c2,c5,c2,c4,c4
2558.0,"HARBORA RIVER AT NARKATIAGANJ, WEST CHAMPARAN",BIHAR,-0.38544687800899374,1.086741306232877,-1.1574138639552358,0.1882274731787616,-0.16940570597046747,-0.02995532370775048,-0.06367803567804362,-0.14588149497091218,-0.20471285585931837,-0.017861058350006863,-0.11596651039928808,-0.12785973939878512,0.06780186976517207,-0.03655457981784764,0.005667931731477849,-0.026049353828383675,c2,c1,c6,c7,c2,c5
2567.0,KAMLA RIVER AT BENIPATTI (MADHUBANI),BIHAR,-0.5705408462614748,0.7069770619577835,-0.04416018214316301,0.687635711032782,0.4017185274199281,-0.022422750781126332,-0.10949818991860458,-0.15259772479749983,-0.15108752386653743,-0.15621996732171073,-0.2096201111639789,-0.14082052835868195,-0.02726892133949155,-0.03602750301071592,-0.013484838771655412,-0.026049353828383675,c1,c2,c5,c2,c1,c1
2569.0,KAMLA RIVER AT DARBHANGA,BIHAR,-0.5705408462614748,0.7069770619577835,-0.5501845829668324,0.687635711032782,0.02096903849299828,-0.03748789663437463,-0.13648116963804602,-0.1419636942387361,-0.16896263453079774,-0.16952370856898993,-0.2096201111639789,-0.13650026537204965,-0.03159032093515808,-0.03265421144507289,-0.007100581937277659,-0.024079351462911354,c1,c2,c5,c7,c2,c1
3133.0,KAMLA RIVER AT JAYNAGAR,BIHAR,-0.5705408462614748,0.13733069554514338,0.5630690988452399,0.7644677476257079,0.7824680163468561,0.015240113851994544,-0.10644351296923385,-0.1509186673408529,-0.18683774519505808,-0.1668629603195341,-0.2096201111639789,-0.13650026537204965,-0.02078682194599176,-0.034657103312173435,-0.007100581937277659,-0.024079351462911354,c1,c2,c1,c5,c1,c2
4299.0,"KAMLA AT JEEWACH GHAT,
DARBHANGA",BIHAR,-0.015258941504031585,0.5170949398202368,-0.19596750239026417,0.7644677476257079,0.21134378295646233,-0.03748789663437463,-0.17924664692923625,-0.16479887564913404,-0.13321241320227714,-0.1668629603195341,-0.2096201111639789,-0.14082052835868195,-0.03375102073299134,-0.03602750301071592,-0.04381005873494974,-0.026049353828383675,c1,c2,c5,c7,c2,c2
2565.0,"KOSHI RIVER AT KURSHELA AT
KATIHAR",BIHAR,-0.38544687800899374,0.3272128176826901,0.46186421868050637,0.49555561955046656,0.972842760810322,-0.022422750781126332,-0.13953584658741677,-0.17274641427726273,-0.15108752386653743,-0.16154146382062243,-0.2096201111639789,-0.14514079134531419,-0.040233120126491134,-0.03697624126355302,-0.036627769796274766,-0.02822215055500756,c1,c2,c5,c2,c1,c2
